age_group,answer,options,question
11-12, Option A,"A.  True,B.  False,A.  It defers rendering of html page,B.  It defers script execution until the page has been rendered",State true or false. It is faster to render HTML and CSS than to interpret and execute JavaScript.
11-12, Option B,"C.  It defers rendering of css attributes,D.  None of mentioned,A.  async and defer attributes of script tag execute before the DOMContentLoaded event,B.  defer executes each script sequentially",What is the use of “defer” attribute?
11-12, Option D,"C.  async executes each script when it is ready,D.  all older browsers supports async attribute,A.  Web browser,B.  Web server",Which of the following statements is false?
11-12, Option A,"C.  Web matrix,D.  None of the mentioned,A.  Nexus,B.  Netscape Navigator",Which of the following is used to read a HTML page and render it?
11-12, Option A,C.  Internet Explorer,Which of the following is the first web browser?
13-15, Option C,"A.  PSRQ,B.  RSPQ,C.  QPSR,D.  PSQR",S
13-15, Option B,"A.  RSQP,B.  SQPR,C.  SQRP,D.  RSPQ",:	The Bhagavadgita recognises the nature of man and the needs of man.
13-15, Option A,"A.  RPQS,B.  RPSQ,C.  SRPQ,D.  SQPR","
P :	All these three aspects constitute the nature of man."
13-15, Option C,"A.  PSRQ,B.  QPSR,C.  QSRP,D.  SRPQ","
Q :	It shows how the human being is rational one, an ethical one and a spiritual one."
13-15, Option A,"A.  QRPS,B.  QSPR,C.  QRSP","
R :	More than all, it must be a spiritual experience."
13-15, Option E,"A.  SeptEMbEr,B.  SEpTeMBEr ,C.  SeptembeR,D.  SepteMber","If every alternative letter starting from B of the English alphabet is written in small letter, rest all are written in capital letters, how the month 'September' be written as:"
13-15, Option A,"E.  None of these,A.  CLUE,B.  GLUE,C.  FLUE","If in a certain code, LUTE is written as MUTE and FATE is written as GATE, then how will BLUE be written in that code?"
13-15, Option B,"D.  SLUE,A.  CBFFDS,B.  CBMHDS,C.  EBFHDS","In a certain code, FAVOUR is written as EBUPTS. How is DANGER written in that code?"
13-15, Option C,"D.  EBHHFS,A.  JDOCMF,B.  CLEMNK,C.  HCPFQK","If in a certain language, MIRACLE is coded as NKUEHRL, then how is GAMBLE coded in that language?"
13-15, Option B,"D.  AELGMN,A.  AJMTVT,B.  AMJXVS,C.  MJXVSU","If DELHI can be coded as CCIDD, how would you code BOMBAY?"
09-10, Option A,"A.  $$\frac{3}{4}$$,B.  $$\frac{4}{3}$$,C.  $$\frac{3}{7}$$,D.  $$\frac{7}{3}$$",If x : y = 7 : 3 then the value of $$\frac{{xy + {y^2}}}{{{x^2} - {y^2}}}{\text{ is?}}$$
09-10, Option D,"A.  4,B.  5,C.  6,D.  7","If [p] means the greatest positive integer less than or equal to p, then $$\left[ { - \frac{1}{4}} \right] + \left[ {4 - \frac{1}{4}} \right] + \left[ 3 \right]$$     is equal to?"
09-10, Option B,"A.  1,B.  9,C.  3,D.  3",The value of $$\frac{{{{\left( {243} \right)}^{\frac{n}{5}}}{{.3}^{2n + 1}}}}{{{9^n}{{.3}^{n - 1}}}}{\text{ is?}}$$
09-10, Option C,"A.  1.0,B.  0.5,C.  0.6,D.  1.1","If x = 0.5 and y = 0.2, then the value of $$\sqrt {0.6}  \times {\left( {3y} \right)^x}$$   is equal to?"
09-10, Option C,"A.  $$\frac{4}{9}$$,B.  $$\frac{2}{3}$$,C.  $$\frac{9}{4}$$","If $${x^{x\sqrt x }} = {\left( {x\sqrt x } \right)^x}{\text{,}}$$    then x equals to?"
11-12, Option B,"A.  99,B.  131,C.  137,D.  124",What will come at the place of question mark ?
11-12, Option A,"A.  1702,B.  7767,C.  6992,D.  6913","7, 11, 19, 35, 67, ?
"
11-12, Option B,"A.  6,B.  8,C.  12 ,D.  16",What will come at the place of question mark ?
11-12, Option B,"A.  /,B.  /,C.  /,D.  /","8, 22, 64, 190, 568, ?
"
11-12, Option B,"A.  7,B.  10,C.  12",What will come at the place of question mark ?
11-12, Option B,"A.  Japan,B.  India,C.  Sri Lanka,D.  New Zealand",Choose the word which is different from the rest.
11-12, Option D,"E.  Korea,A.  Spectacles,B.  Goggles,C.  Binoculars",Choose the word which is different from the rest.
11-12, Option D,"D.  Microphone,E.  Telescope,A.  Shehnai,B.  Bagpipe",Choose the word which is different from the rest.
11-12, Option C,"C.  Flute,D.  Sitar,E.  Harmonica,A.  Cheetah",Choose the word which is different from the rest.
11-12, Option B,"B.  Lion,C.  Bear,D.  Tiger,E.  Leopard",Choose the word which is different from the rest.
11-12, Option A,"A.  Tim Berners Lee,B.  Jacobs,Lan,C.  Marc Andeersen,D.  Mozilla foundation",Who created the first web browser
11-12, Option B,"A.  True,B.  False,A.  Chrome,B.  Mozilla",State true or false. Nexus is first graphical web browser.
11-12, Option B,"C.  Internet Explorer,D.  Erwise,A.  BlueGriffon 1.5.2,B.  Aptana studio 3",The open source software version of netscape is
11-12, Option C,"C.  TextEdit(Mac),D.  Dreamweaver,A.  Internet Development Environment,B.  Integrated Development Environment",Which of the following is not an IDE
11-12, Option B,C.  Intelligent Development Environment,IDE stands for
13-15, Option B,"A.  SQPR,B.  QSPR,C.  QRSP,D.  RSQP",S
13-15, Option B,"A.  QSRP,B.  RPSQ,C.  SRPQ,D.  QPSR",":	While talking to a group, one should feel self-confident and courageous."
13-15, Option C,"A.  QSRP,B.  RPQS,C.  RPSQ,D.  QPRS","
P :	Nor is it a gift bestowed by providence on only a few."
13-15, Option B,"A.  SRQP,B.  QPSR,C.  QPRS,D.  PSRQ","
Q :	One should also learn how to think calmly and clearly."
13-15, Option B,"A.  PQRS,B.  RPSQ,C.  QSPR","
R :	It is like the ability to play golf."
13-15, Option E,"A.  DIPUTS,B.  DISPUT,C.  DIPUST,D.  DPISTU","In a certain code language, THANKS is written as SKNTHA. How is STUPID written in that code language?"
13-15, Option B,"E.  None of these,A.  SEGATNAVAD,B.  AVDATNSEGA,C.  AVDATASEGN","In a certain code language, COMPUTRONE is written as PMOCTUENOR. How is ADVANTAGES written in that code?"
13-15, Option E,"D.  NAVDASEGAT,E.  None of these,A.  XKCQBXPD,B.  XLBQCXPD","In a certain code language, ORIENTAL is written as MBUOFJSP. How is COWARDLY written in that code language? "
13-15, Option C,"C.  ZMESDPXB,D.  ZMDSEPXB,E.  None of these,A.  PJSFQMBDJE","In a certain code language, STREAMLING is written as CGTVUHOJMN. How will the word PERIODICAL be written in that language?"
13-15, Option B,"B.  PJSFQMNBJE,C.  QKTGRMBDJE,D.  QKTGRMCEKF,E.  None of these","In a certain code, RAIL is written as KCTN and SPEAK is written as CGRUM. How will AVOID be written in that code?"
09-10, Option A,"A.  12,B.  -12,C.  0,D.  8","If a = 7, b = 5 and c = 3, then the value of a"
09-10, Option B,"A.  3,B.  -3,C.  $$\frac{1}{3}$$,D.  $$\frac{1}{7}$$", + b
09-10, Option C,"A.  $$\frac{2}{3}$$,B.  $$\frac{3}{4}$$,C.  $$\frac{{47}}{{60}}$$,D.  $$\frac{{49}}{{60}}$$", + c
09-10, Option A,"A.  10,B.  0.01,C.  0.1,D.  100", - ab - bc - ca is?
09-10, Option D,"A.  1,B.  2,C.  3","If $${{\text{7}}^x}{\text{ = }}\frac{1}{{343}}{\text{,}}$$   then the value of x is?"
11-12, Option B,"A.  20,B.  22,C.  23,D.  26","36, 34, 30, 28, 24, ... What number should come next?"
11-12, Option C,"A.  22,B.  24,C.  25,D.  26","22, 21, 23, 22, 24, 23, ... What number should come next?"
11-12, Option B,"A.  12,B.  14,C.  27,D.  53","53, 53, 40, 40, 27, 27, ... What number should come next?"
11-12, Option B,"A.  14,B.  15,C.  21,D.  23","21, 9, 21, 11, 21, 13, 21, ... What number should come next?"
11-12, Option B,"A.  26,B.  28,C.  30","58, 52, 46, 40, 34, ... What number should come next?"
11-12, Option E,"A.  Flood,B.  Hurricane,C.  Avalanche,D.  Earthquake",Choose the word which is different from the rest.
11-12, Option E,"E.  Explosion,A.  Ant,B.  Bee,C.  Moth",Choose the word which is different from the rest.
11-12, Option A,"D.  Midge,E.  Spider,A.  Flute,B.  Guitar",Choose the word which is different from the rest.
11-12, Option E,"C.  Sitar,D.  Violin,E.  Veena,A.  Treachery",Choose the word which is different from the rest.
11-12, Option C,"B.  Fraud,C.  Deceit,D.  Swindle,E.  Morbid",Choose the word which is different from the rest.
11-12, Option D,"A.  990,B.  10,C.  only 1,D.  unlimited",We can define ________ number of sites with one copy of dreamweaver installed on our computer.
11-12, Option A,"A.  Editable Regions,B.  HTML controllers,C.  Frames,D.  Content Controllers",What should we add to a template in Dreamweaver in order to control where page content goes?
11-12, Option B,"A.  WebKit,B.  Gecko,C.  Presto,D.  None of the mentioned",Blue Griffon is based on ________ rendering engine
11-12, Option C,"A.  The images are the same “Mime” type,B.  The images are the same color,C.  The images are the same size,D.  You use the “Constrain” tool",Swapping images in dreamweaver is best if
11-12, Option D,"A.  includes tools for developing HTML5 pages,B.  abstracts out many css3 effects,C.  supports direct embedding of audio and video files",Choose the inappropriate option with respect to Blue Griffon 1.5.2. Blue Griffon
16-18, Option C,"A.  Task bar,B.  Windows,C.  Icons,D.  Desktop","Graphical pictures that represent an object like file, folder etc are:"
16-18, Option D,"E.  None of these,A.  The access time of magnetic disk is much less than that of magnetic tape,B.  Disk storage is less expensive than tape storage,C.  Disk storage is longer lasting than magnetic tape",Which of the following is not an advantage of magnetic disk storage?
16-18, Option D,"D.  None of the above,A.  Bytes,B.  Kilobytes,C.  Decimal bytes",The 0 and 1 in the binary numbering system are called Binary Digits or
16-18, Option B,"D.  Bits,E.  None of these,A.  4.5"",B.  3.5""",The size of commonly used floppy disk is
16-18, Option D,"C.  3.25"",D.  5.5"",E.  None of these,A.  Chomium","The 'IC' chip, used in computers, is made of"
13-15, Option B,"A.  SPRQ,B.  QPSR,C.  PSRQ,D.  SPQR",S
13-15, Option C,"A.  SPRQ,B.  RSQP,C.  SPQR,D.  RSPQ",:	Reliogion is not a matter of mere dogmatic conformity.
13-15, Option A,"A.  RQSP,B.  QRPS,C.  SRPQ,D.  PQRS","
P :	It is not merely going through the ritual prescribed to us."
13-15, Option B,"A.  RQPS,B.  QRPS,C.  RQSP,D.  QRSP","
Q :	It is not a question of ceremonial piety."
13-15, Option B,"A.  RPQS,B.  RPSQ,C.  PRQS","
R :	Unless that kind of transformation occurs, you are not an authentically religious man."
13-15, Option B,"A.  FLKPMROZ,B.  GVINRMZO,C.  RVNIGLKA,D.  MNIVGYEO","If in a certain code language, FLOWER is coded as UOLDVI, then how is TERMINAL coded in that language?"
13-15, Option B,"A.  CPNCBX,B.  CPNCBZ,C.  CPOCBZ,D.  CQOCBZ","If in a certain language, MADRAS is coded as NBESBT, how is BOMBAY coded in that language?"
13-15, Option C,"E.  None of these,A.  VMRJECN,B.  VMRHACJ,C.  VMRJACJ","If in a certain code, GLAMOUR is written as IJCNMWP and MISRULE is written as OGUSSNC, then how will TOPICAL be written in that code?"
13-15, Option A,"D.  VNRJABJ,E.  None of these,A.  ROTAGILA,B.  ROTAGAIL","In a certain code, TELEPHONE is written as ENOHPELET. How is ALIGATOR written in that code?"
13-15, Option B,"C.  ROTAGILE,D.  ROTEGILA,A.  OCOMMO,B.  OCMMNO","If SPIDER is written as PSDIRE in a certain code, how would COMMON be written in that code?"
09-10, Option B,"A.  $$\frac{3}{4}$$,B.  $$\frac{4}{3}$$,C.  $$\frac{3}{5}$$,D.  $$\frac{5}{3}$$","If $$a = \frac{{\sqrt 5  + 1}}{{\sqrt 5  - 1}}$$   & $$b = \frac{{\sqrt 5  - 1}}{{\sqrt 5  + 1}}{\text{,}}$$    then the value of $$\frac{{{a^2} + ab + {b^2}}}{{{a^2} - ab + {b^2}}}{\text{ is?}}$$"
09-10, Option C,"A.  3.94,B.  2.39,C.  0,D.  1","If a = 4.36, b = 2.39 and c = 1.97, then the value of a"
09-10, Option D,"A.  2 : 1,B.  2 : 3,C.  1 : 3,D.  5 : 2", - b
09-10, Option C,"A.  5 : 2,B.  4 : 3,C.  11 : 3,D.  37 : 19", - c
09-10, Option B,"A.  $$ \pm \frac{1}{{18}}$$,B.  $$\frac{1}{8}$$,C.  $$ - \frac{1}{5}$$", - 3abc is?
11-12, Option D,"A.  7,B.  10,C.  14,D.  15","3, 4, 7, 8, 11, 12, ... What number should come next?"
11-12, Option D,"A.  9,B.  29,C.  32,D.  34","8, 22, 8, 28, 8, ... What number should come next?"
11-12, Option A,"A.  15,B.  14,C.  13,D.  12","31, 29, 24, 22, 17, ... What number should come next?"
11-12, Option C,"A.  4.2,B.  4.4,C.  4.7,D.  5.1","1.5, 2.3, 3.1, 3.9, ... What number should come next?"
11-12, Option B,"A.  52,B.  56,C.  96","14, 28, 20, 40, 32, 64, ... What number should come next?"
11-12, Option A,"A.  Reader,B.  Writer,C.  Printer,D.  Publisher",Choose the word which is different from the rest.
11-12, Option A,"E.  Reporter,A.  Arrow,B.  Axe,C.  Knife",Choose the word which is different from the rest.
11-12, Option A,"D.  Dagger,E.  Sword,A.  Feathers,B.  Tentacles",Choose the word which is different from the rest.
11-12, Option E,"C.  Scales,D.  Pseudopodia,E.  Flagella,A.  Dog",Choose the word which is different from the rest.
11-12, Option C,"B.  Horse,C.  Goat,D.  Cat,E.  Fox",Choose the word which is different from the rest.
11-12, Option A,"A.  True,B.  False,A.  Exo is a cloud-based ide that offers collaboration and deployment features,B.  Exo does not support java and python",State true or false. Maqetta is an open source initiative of the Dojo Foundation to geared towards visual designers through a WYSIWYG user interface.
11-12, Option D,"C.  Exo supports javascript and html5,D.  Both a and c,A.  ii,B.  i",Choose the correct statement for HTML
11-12, Option B,"C.  i and ii,D.  None of the mentioned,A.  Apache tomcat,B.  BlueGriffon",Which of following statement is true?
11-12, Option B,"C.  Jetty,D.  Tornado,A.  True","
i. Cloud9 has gained particular interest for its integration with GitHub and Bit Bucket authentication integration and real-time collaboration."
11-12, Option A,,"
ii. Cloud9 does not account for SSH and FTP access."
13-15, Option A,"A.  GPAUNR,B.  PGUARN,C.  PGAURN,D.  GPUANR","If STRONG is written as ROTNSG, then how would NAGPUR be written in the same code? "
13-15, Option B,"A.  EOJDEJFM,B.  EOJDJEFM,C.  MFEDJJOE,D.  MFEJDJOE","In a certain code language, COMPUTER is written as RFUVQNPC. How is MEDICINE written in the same code?"
13-15, Option A,"E.  None of these,A.  CLJKD,B.  DKJLF,C.  DNHMB","In a certain code language, BOARD is written as EQBNC. How will the word CLIMB be written in that language?
"
13-15, Option D,"D.  FNJRO,A.  NBXSSE,B.  NBWRRF,C.  MAVSPE","In a certain code, MOTHER is written as ONHURF. How will ANSWER be written in that code?"
13-15, Option B,"D.  NBWTRF,E.  None of these,A.  NFMWZMX,B.  NFMWZMV","If in a certain code, CERTAIN is coded as XVIGZRM, SEQUENCE is coded as HVJFVMXV, then how would MUNDANE be coded?"
11-12, Option B,"A.  11,B.  12,C.  13,D.  14","2, 4, 6, 8, 10, ... What number should come next?"
11-12, Option D,"A.  205,B.  208,C.  210,D.  211","201, 202, 204, 207, ... What number should come next?"
11-12, Option A,"A.  404,B.  414,C.  420,D.  445","544, 509, 474, 439, ... What number should come next?"
11-12, Option A,"A.  20,B.  25,C.  30,D.  50","80, 10, 70, 15, 60, ... What number should come next?"
11-12, Option C,"A.  108,B.  148,C.  162","2, 6, 18, 54, ... What number should come next?"
11-12, Option C,"A.  Physics,B.  Chemistry,C.  Geography,D.  Botany",Choose the word which is different from the rest.
11-12, Option D,"E.  Zoology,A.  Football,B.  Volleyball,C.  Cricket",Choose the word which is different from the rest.
11-12, Option B,"D.  Chess,E.  Hockey,A.  Trunk,B.  Tree",Choose the word which is different from the rest.
11-12, Option B,"C.  Fruit,D.  Leaf,E.  Flower,A.  Giraffe",Choose the word which is different from the rest.
11-12, Option E,"B.  Hyena,C.  Deer,D.  Rhinoceros,E.  Zebra",Choose the word which is different from the rest.
11-12, Option D,"A.  You Tube,B.  Wikipedia,C.  Meebo,D.  LocalHost",LightTPD is not used by
11-12, Option B,"A.  WAMP,B.  XAAMP,C.  MAMP,D.  None of the mentioned",Which of the following is not a prepackaged server stack?
11-12, Option B,"A.  Firefox,B.  Firefox alpha,C.  Firefox Beta,D.  Firefox Aurora",Which of the following is not a channel of mozilla?
11-12, Option A,"A.  True,B.  False,A.  Add-ons,B.  Plug-ins","State true or false. Google Chrome has its own task manager, which allows you to view and manage your memory and CPU usage”"
11-12, Option B,C.  Utilities,Which of the following are automatically loaded and operates as a part of browser?
13-15, Option A,"A.  ITMFKD,B.  ITNFKD,C.  KVOHMF,D.  TIMFKD","If FISH is written as EHRG in a certain code, how would JUNGLE be written in that code?"
13-15, Option A,"A.  PQJDOVBSJNO,B.  PQJDOUBUJPO,C.  PSJFOVBSJNO,D.  NSHFMVBSJNO","In a certain code, PRODUCTIONS is written as QQPCVEUHPMT. How is ORIENTATION written in that code?"
13-15, Option C,"E.  None of these,A.  RDKCNL,B.  RFKENM,C.  RFKFNP","In a certain code, BELIEF is written as AFKKDI. How is SELDOM written in that code?"
13-15, Option C,"D.  TFKENP,E.  None of these,A.  LNNQD,B.  NNNQD","In a certain code, POETRY is written as QONDSQX and OVER is written as PNUDQ. How is MORE written in that code language? "
13-15, Option B,"C.  NLNQD,D.  NLPQD,E.  None of these,A.  PMOCRETU","In a certain code, INACTIVE is written as VITCANIE. How is COMPUTER written in the same code?"
16-18, Option A,"A.  OS-2,B.  Windows,C.  DOS,D.  UNIX",Which of the following operating systems is produced by IBM?
16-18, Option B,"A.  Control,B.  ALU,C.  Register,D.  Cache Memory",The processor which performs arithmetical and logical operations is called
16-18, Option D,"A.  UNIC,B.  FUNTRIA,C.  BRAINIA,D.  ENIAC",Which was an early mainframe computer?
16-18, Option C,"A.  Redmond, Washington,B.  Tucson, Arizona,C.  Santa Clara, California,D.  Richmond, Virginia",Where is the headquarters of Intel located?
16-18, Option B,"A.  3080,B.  4004,C.  8080",Which of the following was the first Intel processor introduced?
11-12, Option D,"A.  3,B.  3.3,C.  3.5,D.  3.6","5.2, 4.8, 4.4, 4, ... What number should come next?"
11-12, Option D,"A.  128,B.  226,C.  324,D.  429","8, 6, 9, 23, 87 , ... What number should come next?"
11-12, Option A,"A.  11, 5,B.  10, 7,C.  11, 8,D.  5, 10","28, 25, 5, 21, 18, 5, 14, ... choose which pair of numbers comes next?"
11-12, Option B,"E.  10, 5,A.  25, 18,B.  25, 21,C.  25, 29","8, 11, 21, 15, 18, 21, 22, ... choose which pair of numbers comes next?"
11-12, Option D,"D.  24, 21,E.  22, 26,A.  59, 66,B.  56, 62","9, 16, 23, 30, 37, 44, 51, ... choose which pair of numbers comes next?"
11-12, Option B,"A.  Bajra,B.  Mustard,C.  Rice,D.  Wheat",Choose the word which is different from the rest.
11-12, Option A,"E.  Barley,A.  Cot,B.  Sheet,C.  Quilt",Choose the word which is different from the rest.
11-12, Option C,"D.  Pillow,E.  Blanket,A.  Assassinate,B.  Kill",Choose the word which is different from the rest.
11-12, Option D,"C.  Kidnap,D.  Stab,E.  Murder,A.  Doe",Choose the word which is different from the rest.
11-12, Option B,"B.  Bitch,C.  Sorceress,D.  Drone,E.  Mare",Choose the word which is different from the rest.
11-12, Option B,"A.  Operating System,B.  Website,C.  Interpreter,D.  Internet Browser",Which of the following allows user to view a webpage?
11-12, Option C,"A.  Hierarchy of objects in ASP.NET,B.  Application programming interface,C.  Convention for representing and interacting with objects in html documents,D.  None of the mentioned",What is DOM in HTML?
11-12, Option B,"A.  make web page compatible only with IE8,B.  mimic behaviour of IE8,C.  make web page incompatible only with IE8,D.  None of the mentioned",This is used to
11-12, Option B,"A.  HTML5,B.  HTML5 Shiv,C.  HTML5 Shim,D.  None of the mentioned"," 
"
11-12, Option D,"A.  Download the library from the github location,B.  Uncompress the file,C.  Insert the following code inside the head tag",Which one of the following is an open source JavaScript library that enables styling for HTML5 elements in versions of Internet Explorer before IE 9 ?
13-15, Option B,"A.  RPQS,B.  RPSQ,C.  PRQS,D.  QPRS",S
13-15, Option D,"A.  SQPR,B.  RQPS,C.  QSRP,D.  PSRQ",:	Politeness is not a quality possessed by only one nation or race.
13-15, Option D,"A.  PQRS,B.  PSRQ,C.  PRSQ,D.  SPQR","
P :	One may observe that a man of one nation will remove his hat or fold his hands by way of greetings when he meets someone he knows."
13-15, Option C,"A.  PQRS,B.  PRSQ,C.  RQPS,D.  RSQP","
Q :	A man of another country will not to do so."
13-15, Option D,"A.  QRSP,B.  SPQR,C.  SPRQ","
R :	It is a quality to be found among all peoples and nations in every corner of the earth."
13-15, Option D,"A.  ICCRLURA,B.  CRIUCLRA,C.  ICRCLUAR,D.  CRIUCALR","In a certain code, CALANDER is written as CLANAEDR. How is CIRCULAR written in that code?"
13-15, Option A,"A.  LSEUOAUMM,B.  AUUCOSLMM,C.  AUEUOSEMM,D.  SLUEOAUMM","If in a certain language, EXECUTIVE is coded as TCIEUXVEE, the how is MAUSOLEUM coded in that language?"
13-15, Option A,"A.  BHSSFKHM,B.  BHSSMHHF,C.  BSHSFHKM,D.  BSSHFMKH","In a certain code language, CREATIVE is written as BDSBFUJS. How is TRIANGLE written in that code?"
13-15, Option C,"E.  None of these,A.  DSFEJDDXSHKH,B.  JEFSDCXSHKH,C.  JEFSDDXSHKH","In a certain code language, OMNIPRESENT is written as QJONPTSMDRD. How is CREDIBILITY written in that code?"
13-15, Option E,"D.  JEFSDDZUJMJ,E.  None of these,A.  VOCVZRL,B.  VPCVZRL","In a certain code language, ROUTINE is written as VMRGFLI. How will CRUELTY be written in that code language?"
16-18, Option B,"A.  WINDOWS.INI,B.  WIN.INI,C.  SYSTEM.INI,D.  GROUP.INI",Window's settings are recorded in
16-18, Option D,"A.  FTP,B.  SSH,C.  POP3,D.  SMTP",Which network protocol is used to send Email?
16-18, Option C,"E.  None of these,A.  1963,B.  1969,C.  1971",When was the first e-mail sent?
16-18, Option C,"D.  1974,A.  Communication,B.  Application,C.  System",Operating System is the most common type of _________ software.
16-18, Option D,"D.  Word Processing Software,A.  I only,B.  II only,C.  I and II only",Arithmetic logic unit
11-12, Option B,"A.  2, 46,B.  44, 50,C.  42, 48,D.  40, 42","2, 8, 14, 20, 26, 32, 38, ... choose which pair of numbers comes next?"
11-12, Option A,"E.  32, 26,A.  19, 33,B.  33, 35,C.  33, 19","9, 11, 33, 13, 15, 33, 17, ... choose which pair of numbers comes next?"
11-12, Option D,"D.  15, 33,E.  19, 21,A.  9, 10,B.  4, 8","2, 3, 4, 5, 6, 4, 8, ... choose which pair of numbers comes next?"
11-12, Option E,"C.  10, 4,D.  9, 4,E.  8, 9,A.  26, 23","17, 17, 34, 20, 20, 31, 23, ... choose which pair of numbers comes next?"
11-12, Option D,"B.  34, 20,C.  23, 33,D.  27, 28,E.  23, 28","6, 20, 8, 14, 10, 8, 12, ... choose which pair of numbers comes next?"
11-12, Option D,"A.  Turtle,B.  Lamb,C.  Colt,D.  Bitch",Choose the word which is different from the rest.
11-12, Option D,"E.  Farrow,A.  Raid,B.  Attack,C.  Assault",Choose the word which is different from the rest.
11-12, Option A,"D.  Defence,E.  Ambush,A.  Tomato,B.  Carrot",Choose the word which is different from the rest.
11-12, Option E,"C.  Ginger,D.  Potato,E.  Turmeric,A.  Car",Choose the word which is different from the rest.
11-12, Option B,"B.  Scooter,C.  Helicopter,D.  Aeroplane,E.  Cycle",Choose the word which is different from the rest.
11-12, Option A,"A.  navigator.userAgent,B.  navigator.user,C.  navigator,D.  return",Which property is used to detect the browser’s user agent and code based on the pertinent cases?
11-12, Option B,"A.  mq() media Plugin API,B.  addTest() Plugin API,C.  testAllProps() Plugin API,D.  none of the mentioned","Some users have requested tests for IE’s float double margin bug, and support for position:fixed. Which API is suitable for them?"
11-12, Option B,"A.  Navigator,B.  Modernizr,C.  Geolocation,D.  Google API", ___________ is an open source JavaScript library that allows support for different levels of experiences based on the capabilities of each browser.
11-12, Option D,"A.  hasEvent(),B.  testAllProps(),C.  testProp(),D.  modernizr.testStyles()",____________ allows you to add custom styles to the document and test an element afterwards.
11-12, Option B,A.  True,Modernizr does actually add missing functionalities to browsers save for the HTML5 tags styling support.
13-15, Option D,"A.  PSQR,B.  SRQP,C.  QPRS,D.  RQSP",S
13-15, Option C,"A.  PSQR,B.  QPRS,C.  QSPR,D.  PSRQ",:	Jawaharlal Nehru was the greatest plan-enthusiast.
13-15, Option B,"A.  QRPS,B.  QSPR,C.  RPQS,D.  SQRP","
P :	Under Nehru's advice, the pre-Independent congress set up National Planning Commission in 1938."
13-15, Option D,"A.  RPQS,B.  RQSP,C.  RSPQ,D.  RPSQ","
Q :	But he forgot that what could be achieved by force under the communist dictatorship of Russia was not possible under the democratic set up of India."
13-15, Option B,"A.  SPQR,B.  PQSR,C.  RQPS","
R :	He took the idea from Russia where Five year plans transformed a very backward country into a top power of the world."
13-15, Option B,"A.  EHKSDQR,B.  EHKUDQR,C.  EGKUDQR,D.  GJMSFST","In a certain code, TWINKLE is written as SVHOJKD, then how would FILTERS be written in the same code? "
13-15, Option C,"E.  None of these,A.  EGZBKMRDE,B.  EGZKMRTDF,C.  EGZBKMRTDF","If TRUTH is coded as SUQSTVSUGI, then the code for FALSE will be"
13-15, Option D,"D.  FGZBKNRTDF,A.  FSHCD,B.  HSJED,C.  FOHCD","In a certain code language, BORN is written as APQON and LACK is written as KBBLK. How will the word GRID be written in that code language?"
13-15, Option C,"D.  FSHED,E.  None of these,A.  BGINS,B.  SGNIS","In a certain code, CAT is written as SATC and DEAR is written as  SEARD. How would SING be written in that code?"
13-15, Option C,"C.  SINGS,D.  GNISS,A.  TNEROHEMNTNE,B.  TNEROHEMNNTE","In a certain code, CONVENTIONAL is written as NOCNEVOITLAN. How is ENTHRONEMENT written in that code?"
16-18, Option A,"A.  allow the computer to store data electronically,B.  store data indefinitely unless you delete it,C.  are secondary memory,D.  All of the above",RAM chips
16-18, Option A,"A.  Mathematical intensive scientific applications,B.  Data-retrieval operations,C.  Input-output intensive processing,D.  All of the above",Super computers are mainly useful for
16-18, Option D,"A.  Memory,B.  Processor,C.  Disk and I/O Devices,D.  All of the above",The operating system manages
11-12, Option D,"A.  43, 18,B.  41, 44,C.  37, 18,D.  37, 41","21, 25, 18, 29, 33, 18, ... choose which pair of numbers comes next?"
11-12, Option B,"E.  38, 41,A.  25, 15,B.  25, 85,C.  35, 25","75, 65, 85, 55, 45, 85, 35, ... choose which pair of numbers comes next?"
11-12, Option D,"D.  85, 35,E.  25, 75,A.  47, 52,B.  46, 52","11, 16, 21, 26, 31, 36, 41, ... choose which pair of numbers comes next?"
11-12, Option C,"C.  45, 49,D.  46, 51,E.  33, 38,A.  39, 44","3, 8, 13, 18, 23, 28, 33, ... choose which pair of numbers comes next?"
11-12, Option B,"B.  38, 44,C.  38, 43,D.  37, 42,E.  33, 38","84, 78, 72, 66, 60, 54, 48, ... choose which pair of numbers comes next?"
11-12, Option C,"A.  Modernizr,B.  Modernizr.geolocation,C.  Navigator.userAgent,D.  Modernizr.js", ___________ is used to test whether geolocation is supported in old browsers.
11-12, Option C,"A.  HasEvent(),B.  Navigator.userAgent,C.  Modernizr.load,D.  None of the mentioned",____________ is a resource loader (CSS and JavaScript) that was made to specifically to work side-by-side with Modernizr.
11-12, Option A,"A.  True,B.  False,A.  True,B.  False","In case we want to implement a JavaScript fallback, we would need to create a conditional statement using Modernizr."
11-12, Option A,"A.  body tag,B.  html tag,C.  head tag",Metadata store information about the web page that is not necessarily visible to end users.
11-12, Option C,,In which part of the HTML metadata is contained?
13-15, Option B,"A.  PQRS,B.  QRPS,C.  QSPR,D.  RPSQ",S
13-15, Option A,"A.  PQRS,B.  SRQP,C.  QPRS,D.  QPSR",:	There is only one monkey we can thoroughly recommend as an indoor pet.
13-15, Option B,"A.  QPRS,B.  SQPR,C.  RSQP,D.  SRPQ","
P :	They quickly die from colds and coughs after the first winter fogs."
